"","compound","Cmax","dose","original.reference","method.KaFa","method.phys.chem.Fup","method.Fup","method.phys.chem","method.partition","method.Clint","logP","frac.unionized","frac.ionized.acid","frac.ionized.base","Fup","Fuinc","Ka","Fa","Kpad","Kpbo","Kpbr","Kpgu","Kphe","Kpki","Kpli","Kplu","Kpmu","Kpsk","Kpsp","Clint","original.reference.Clint","time","Aad","Abo","Abr","Agu","Ahe","Aki","Ali","Alu","Amu","Ask","Asp","Ate","Ave","Aar","Are","D","AliClearance","AkiClearance","ERROR","MASSBBAL","Calculated","Cplasmavenous","Cadipose","Cbone","Cbrain","Cgut","Cheart","Ckidney","Cliver","Clung","Cmuscle","Cskin","Cspleen","Cgonads","Cvenous","Carterial"
"1","Antipyrine",14.738,10,"Mey1987","in silico","ADMET","in silico","ADMET","Schmitt","in silico",0.588327319,1,0,0,0.620936487159923,1,2.43859296411879,0.995390782902795,15.8448712360326,1.82235165096266,2.74930832844927,1.72921833775329,2.41261174752556,1.59742960231637,1.48942612625579,0.761475537489119,0.995369928465179,2.41017179762296,1.06804678174142,34.13947097,"this work",0.3,14.3133907548475,11.8665862099984,11.9271704438179,39.4565146248167,2.62827925634799,1.58172763828337,16.6817739385176,1.37951095133509,37.9168223607417,10.3489498663217,0.65844034934272,1.69832077347637,12.2514958386876,6.12734013799824,16.6755994028341,335.252032304237,172.846256895333,3.16333628501823,1.30529453126027e-13,1.00000000000091,696.773548031956,3.40508500241456,0.973700051350172,1.97973420386592,8.51940745986995,32.9628359438736,7.98869074877809,5.13547934507588,11.3481455364065,2.59306569799829,1.35417222716935,3.98496336785588,3.61780411726769,2.42617253353767,3.40508500241456,3.40597006003237
"2","Antipyrine",16.6,10,"Allen1987","in vitro",NA,"in vitro","ChemAxon","Berezhkovskiy","hep",1.22,0.999999876973138,0,1.23026862031139e-07,0.97,0.933,3.75502284086935,0.999222601493282,1.01193045525597,1.65534620421685,1.82656651654872,1.63793264498112,2.31470501648606,1.42959555875287,1.47410260213079,0.878072425781398,0.996992478164528,1.31849089958735,1.12133283850263,0.480919003,"Wood 2017",0.3,33.4271297580507,31.2519537529206,23.3839757111866,52.0261064525492,7.0401129149675,3.84214193728387,45.1062610232915,4.47073576578468,101.974503732536,22.0772325338891,1.93219413528698,4.62465057341631,34.4348257194018,17.2150632105986,45.3823660417522,226.73814024967,31.3419739860641,13.1864535466467,1.13775286459411e-13,1.0000000000008,699.455821045297,9.57054633668754,2.27395440530957,5.21384673632274,16.7028397937047,43.4637480806593,21.3985194983815,12.4744868093632,30.6845313083616,8.40363865749,3.64194656187628,8.50105218863656,10.6164512927856,6.60664367630901,9.57054633668754,9.56924025047171
"3","Bisphenol A",0.00148,0.1,"Thayer2015","in silico","ChemAxon","in silico","ChemAxon","Berezhkovskiy","in silico",4.04,0.995844381597938,0.00415561840206236,0,0.044317342025393,1,2.09165732798688,0.991966426923377,43.6025586887267,13.3949649011523,11.2435481219565,9.74138072754212,16.977061443253,7.4618201328794,8.12019271660047,1.17117510966863,2.85847078385075,7.17183850535042,3.7218079106448,88.51699509,"this work",0.8,0.307539482337083,0.289846076310179,0.366108962990212,1.18573468125322,0.126526677197426,0.0697221489927725,0.893467609486182,0.0189739247129227,0.843223730076019,0.23461991210174,0.0202130442341949,0.0394336756872753,0.109556972508191,0.0547985735830608,0.386420182983286,1.30280332587454,0.689996326492054,0.00477968164331747,-5.50013891751189e-13,0.999999999999962,6.94376498846368,0.0304494087015539,0.0209210532202097,0.0483557933994623,0.261506402135866,0.990588706143043,0.384579565949624,0.226370613612898,0.607801094888559,0.0356652720167719,0.0301151332170007,0.0903426692729074,0.111060682605466,0.0563338224103933,0.0304494087015539,0.030460574531996
"4","Bisphenol A",0.00148,0.1,"Thayer2015","in vitro",NA,"in vitro","ADMET","RodgersRowland","S9",3.644984609,0.996031352769631,0.00396864723036916,0,0.0456,0.628,2.01576191181865,0.990872646358375,19.1128586574695,14.9573158778985,12.3892223957041,10.5477006236662,18.3598447473641,8.2534944802451,8.14602428119967,0.974379531998474,3.19500438947708,10.2723539169618,3.46351179063644,73,"this work",0.7,0.16717173438525,0.161215446281349,0.227354756112573,1.32789557703603,0.0774553309974637,0.0480427053117321,0.59815360278325,0.00983263837747591,0.484222146435471,0.142752108049705,0.0116980500278314,0.0239476973032001,0.0682389850834856,0.0341385435164479,0.234061411964997,1.69165537835179,1.62557327512464,0.00269913736593113,1.40856541995838e-13,1.00000000000001,6.93610852450862,0.0189658101955213,0.0113722268289285,0.0268960025694481,0.162396254366124,1.10935303010529,0.235426537986212,0.155982809453676,0.406907212777721,0.0184824029651803,0.0172936480869811,0.0549680816517924,0.0642750001529198,0.0342109961474286,0.0189658101955213,0.0189763999535563
"5","Bosentan",4.62,4.286,"Weber1996","in silico",NA,"in vitro","ADMET","Schmitt","in silico",4.06953122,0.0520912615983965,0.947908550672625,6.91783111219646e-05,0.02,1,0.634343649481994,0.841369835225474,0.88331669482451,0.123249192648183,0.453982130718063,0.139711261173746,0.158639148039632,0.176227625167507,0.141682334322204,0.0893614926512673,0.121983616679799,0.444466918772297,0.128601085685107,65.76279075,"this work",2.3,66.0245526497723,4.12693693791346,3.55112834706969,1.04360539880129,0.291621707493837,0.302729091316601,1.19055204035109,0.265632149590645,19.0772499617483,6.44644348403973,0.13077643174578,0.477072366276129,20.1038757353502,10.0518768010002,4.75977944499004,58.6821063013367,54.5415447714779,1.36029434404821,9.77310975223777e-12,1.00000000002467,252.427777964322,5.5875141009867,4.49146616665118,0.68850788833447,2.53652024790692,0.871850792649368,0.886388168674278,0.982886660118833,0.809899347177615,0.499308551862115,0.681330355776724,2.48226549250664,0.71855182277901,0.681531951823042,5.5875141009867,5.587480156198
"6","Bosentan",9.49,8.571,"Weber1996","in silico",NA,"in vitro","ChemAxon","Berezhkovskiy","in silico",4.94,0.0245033675341756,0.975496632449664,2.69153471732508e-08,0.02,1,0.634343649481994,0.841369835225474,115.790205714674,17.6960102806342,14.7773131678631,12.7886921776696,22.3889431717028,9.76326072321034,10.6410745706504,1.40906889310726,3.65492606615878,9.39386200353539,4.79359018265742,65.76279075,"this work",2.1,38.9374779794447,34.0384511034516,26.1510480185213,47.392411308108,9.22379323355377,4.00943333677962,39.4540285947427,1.00126669834806,83.4730466938831,22.2994690839263,1.1629376302888,3.05035799219032,4.80575184525027,2.402974548012,30.1921601807422,133.224282906447,23.7065481820063,0.271220704525809,1.21615092232941e-12,1.00000000000614,504.796660040222,1.33567310874104,2.64880802581257,5.67872551579681,18.6793200132295,39.5926577344261,28.0358456946923,13.0176407038299,26.8394752345188,1.88208026005275,2.98118023906725,8.5866265244229,6.38976719938903,4.35765427455759,1.33567310874104,1.33572793107949
"7","Bufuralol",0.064,0.214,"Pringle1986","in silico","ADMET","in silico","ADMET","Schmitt","in silico",3.255604529,0.0200088511406639,0,0.979991148859336,0.274981441572269,1,1.97768034076316,0.990260284194867,10.1104009083796,1.40620687138517,24.4257417136045,4.70738820792612,4.12345270956529,5.35670620611037,3.74764449805926,2.20475992809121,2.90017277771741,17.7009109540029,3.00046767583802,18.96506626,"this work",0.5,0.457709395109556,0.319108280060232,0.888977390545447,1.69507303250267,0.0928903145052925,0.114419505501205,1.08574183996374,0.0832571681141609,1.38084929751946,0.434584603794173,0.0376350760828419,0.071322138479948,0.255272546910906,0.127780883582781,0.695645955521011,5.51840230007213,1.53015479603641,0.045274532937177,-2.27521602885173e-13,0.999999999999966,14.8340990572391,0.0709484566178171,0.0311366935448677,0.0532376848397876,0.634983850389605,1.4161011132019,0.282341381475053,0.371491900977939,0.738599891131794,0.156498436304814,0.0493160463399808,0.167341010317356,0.206786132323307,0.101888769257069,0.0709484566178171,0.0710288402350091
"8","Bufuralol",0.455,1.714,"Pringle1986","in silico",NA,"in vitro","ADMET","Berezhkovskiy","in silico",3.255604529,0.0200088511406639,0,0.979991148859336,0.176,1,1.97768034076316,0.990260284194867,0.388266321039861,11.3824640599273,9.60517508638455,8.32968236063928,14.4520194363351,6.40146320081139,6.95617087692089,1.08343250337007,2.50647419039038,6.14613451091763,3.24181042184003,18.96506626,"this work",0.8,2.79203823507232,5.7249899263363,6.62129753776535,17.8241960643107,2.29186684466482,1.18542089535127,13.786397807757,0.353055953118746,16.3462794957184,4.48545392144696,0.35398037006071,0.737942713024189,2.20402757053819,1.10171117880289,7.24264517152443,24.4197780252785,10.9608745814401,0.379472605490014,-5.2627732304042e-13,0.999999999999375,118.811428897701,0.61257019748143,0.189934573814444,0.955115327473553,4.72949824126096,14.8907235290816,6.96616062208151,3.84876914075087,9.37850191003877,0.663639009621704,0.583795696275657,1.72716747071504,1.94494708824566,1.05420387574884,0.61257019748143,0.612401989329013
"9","Buspirone",0.0015,0.214,"Gammans1989","in silico","ADMET","in silico","ADMET","RodgersRowland","in silico",1.967887664,0.999946619987966,0,5.33800120338102e-05,0.282689450085061,1,1.50227644039689,0.976848918428289,1.09868160177379,1.48034385104816,1.37942960091632,1.25628951383372,1.90661914877282,1.050656483578,1.0231093306616,0.494210300251263,0.611279589203523,1.25596617210195,0.655791141449566,23.54755228,"this work",0.8,1.07366173282669,0.823552571609122,0.243198123424766,0.370754060483951,0.0790011984388002,0.0397924017123877,0.246486525695678,0.0331847563833517,1.92764500672898,0.394426649569792,0.015054416210647,0.0533078392260194,0.454130764072704,0.227043197436082,0.531309588644292,4.39941494430961,3.5682344851986,0.152998536084225,4.00594460043049e-13,1.00000000000006,14.6331967980557,0.126217555328712,0.0730382131174622,0.137395470427929,0.173712945303404,0.309736057212992,0.240125223218238,0.129196109455804,0.167677908636516,0.0623773616228416,0.068844464526035,0.151877801143547,0.0827165725859726,0.0761540560371706,0.126217555328712,0.126205223699879
"10","Buspirone",0.01882,0.286,"Dalhoff1987","in silico",NA,"in vitro","ChemAxon","Berezhkovskiy","in silico",1.78,0.999987843490136,0,1.21565098637477e-05,0.05,1,1.50227644039689,0.976848918428289,0.271352382062977,0.487812797213089,0.637991622877752,0.595699169479954,0.735902862940181,0.554298556945175,0.554205230442906,0.455771273609494,0.467045361455458,0.502801947731711,0.504091781220433,23.54755228,"this work",1.7,1.73626774009612,1.27965010500162,0.392569410728344,0.342465967453256,0.106411473406088,0.0746922099550552,0.363021541987992,0.106557899463778,5.69732672286622,0.573633087947117,0.0403228757508962,0.143584890518426,1.58119715943637,0.790629345596569,1.43245748906204,1.52111113668884,3.17414823232635,0.20046805864924,1.08998365478973e-13,1.00000000000002,19.5565153469343,0.439465580721616,0.118113451707219,0.213487437500584,0.280406721948817,0.286103565123856,0.323439128893884,0.242507175178751,0.246953429923804,0.200296803503343,0.203475954388079,0.220882975720877,0.221554262367562,0.205121272169181,0.439465580721616,0.439482682377192
